no,yes,actual,is_pos,tp,fp,sensitivity,fpr,specificity,precision,seed,groups,train_frac
0.022,0.978,yes,TRUE,1,0,0.09090909090909093,0,1,1,100,experiment,0.65
0.038,0.962,yes,TRUE,2,0,0.18181818181818185,0,1,1,100,experiment,0.65
0.221,0.779,yes,TRUE,3,0,0.2727272727272727,0,1,1,100,experiment,0.65
0.264,0.736,yes,TRUE,4,0,0.3636363636363637,0,1,1,100,experiment,0.65
0.305,0.695,yes,TRUE,5,0,0.4545454545454546,0,1,1,100,experiment,0.65
0.411,0.589,no,FALSE,5,1,0.4545454545454546,0.09090909090909093,0.9090909090909092,0.8333333333333334,100,experiment,0.65
0.42,0.58,yes,TRUE,6,1,0.5454545454545454,0.09090909090909093,0.9090909090909092,0.8571428571428571,100,experiment,0.65
0.435,0.565,yes,TRUE,7,1,0.6363636363636364,0.09090909090909093,0.9090909090909092,0.875,100,experiment,0.65
0.628,0.372,yes,TRUE,8,1,0.7272727272727273,0.09090909090909093,0.9090909090909092,0.8888888888888888,100,experiment,0.65
0.698,0.302,no,FALSE,8,2,0.7272727272727273,0.18181818181818185,0.8181818181818181,0.8,100,experiment,0.65
0.699,0.301,yes,TRUE,9,2,0.8181818181818182,0.18181818181818185,0.8181818181818181,0.8181818181818182,100,experiment,0.65
0.774,0.226,yes,TRUE,10,2,0.9090909090909092,0.18181818181818185,0.8181818181818181,0.8333333333333334,100,experiment,0.65
0.795,0.205,yes,TRUE,11,2,1,0.18181818181818185,0.8181818181818181,0.8461538461538461,100,experiment,0.65
0.797,0.203,no,FALSE,11,3,1,0.2727272727272727,0.7272727272727273,0.7857142857142857,100,experiment,0.65
0.811,0.189,no,FALSE,11,4,1,0.3636363636363637,0.6363636363636364,0.7333333333333333,100,experiment,0.65
0.842,0.158,no,FALSE,11,5,1,0.4545454545454546,0.5454545454545454,0.6875,100,experiment,0.65
0.864,0.136,no,FALSE,11,6,1,0.5454545454545454,0.4545454545454546,0.6470588235294118,100,experiment,0.65
0.867,0.133,no,FALSE,11,7,1,0.6363636363636364,0.3636363636363637,0.6111111111111112,100,experiment,0.65
0.891,0.109,no,FALSE,11,8,1,0.7272727272727273,0.2727272727272727,0.5789473684210527,100,experiment,0.65
0.894,0.106,no,FALSE,11,9,1,0.8181818181818182,0.18181818181818177,0.55,100,experiment,0.65
0.922,0.078,no,FALSE,11,10,1,0.9090909090909092,0.09090909090909094,0.5238095238095238,100,experiment,0.65
0.952,0.048,no,FALSE,11,11,1,1,0,0.5,100,experiment,0.65
0.105,0.895,yes,TRUE,1,0,0.2,0,1,1,101,experiment,0.65
0.11,0.89,yes,TRUE,2,0,0.4,0,1,1,101,experiment,0.65
0.116,0.884,yes,TRUE,3,0,0.6,0,1,1,101,experiment,0.65
0.13,0.87,yes,TRUE,4,0,0.8,0,1,1,101,experiment,0.65
0.227,0.773,no,FALSE,4,1,0.8,0.04545454545454545,0.9545454545454546,0.8,101,experiment,0.65
0.274,0.726,no,FALSE,4,2,0.8,0.09090909090909093,0.9090909090909092,0.6666666666666666,101,experiment,0.65
0.404,0.596,no,FALSE,4,3,0.8,0.13636363636363635,0.8636363636363636,0.5714285714285714,101,experiment,0.65
0.405,0.595,no,FALSE,4,4,0.8,0.18181818181818185,0.8181818181818181,0.5,101,experiment,0.65
0.414,0.586,yes,TRUE,5,4,1,0.18181818181818185,0.8181818181818181,0.5555555555555556,101,experiment,0.65
0.45,0.55,no,FALSE,5,5,1,0.2272727272727273,0.7727272727272727,0.5,101,experiment,0.65
0.471,0.529,no,FALSE,5,6,1,0.2727272727272727,0.7272727272727273,0.4545454545454546,101,experiment,0.65
0.504,0.496,no,FALSE,5,7,1,0.3181818181818182,0.6818181818181819,0.4166666666666667,101,experiment,0.65
0.543,0.457,no,FALSE,5,8,1,0.3636363636363637,0.6363636363636364,0.38461538461538464,101,experiment,0.65
0.546,0.454,no,FALSE,5,9,1,0.4090909090909091,0.5909090909090908,0.35714285714285715,101,experiment,0.65
0.579,0.421,no,FALSE,5,10,1,0.4545454545454546,0.5454545454545454,0.3333333333333333,101,experiment,0.65
0.623,0.377,no,FALSE,5,11,1,0.5,0.5,0.3125,101,experiment,0.65
0.641,0.359,no,FALSE,5,12,1,0.5454545454545454,0.4545454545454546,0.29411764705882354,101,experiment,0.65
0.642,0.358,no,FALSE,5,13,1,0.5909090909090909,0.40909090909090906,0.2777777777777778,101,experiment,0.65
0.705,0.295,no,FALSE,5,14,1,0.6363636363636364,0.3636363636363637,0.2631578947368421,101,experiment,0.65
0.732,0.268,no,FALSE,5,15,1,0.6818181818181818,0.31818181818181823,0.25,101,experiment,0.65
0.749,0.251,no,FALSE,5,16,1,0.7272727272727273,0.2727272727272727,0.23809523809523808,101,experiment,0.65
0.75,0.25,no,FALSE,5,17,1,0.7727272727272727,0.2272727272727273,0.2272727272727273,101,experiment,0.65
0.751,0.249,no,FALSE,5,18,1,0.8181818181818182,0.18181818181818177,0.21739130434782608,101,experiment,0.65
0.827,0.173,no,FALSE,5,19,1,0.8636363636363636,0.13636363636363635,0.20833333333333337,101,experiment,0.65
0.874,0.126,no,FALSE,5,20,1,0.9090909090909092,0.09090909090909094,0.2,101,experiment,0.65
0.925,0.075,no,FALSE,5,21,1,0.9545454545454546,0.04545454545454541,0.19230769230769232,101,experiment,0.65
