no,yes,actual,is_pos,tp,fp,sensitivity,fpr,specificity,precision,seed,groups,train_frac
0.926,0.074,no,FALSE,5,22,1,1,0,0.18518518518518515,101,experiment,0.65
0.049,0.951,yes,TRUE,1,0,0.16666666666666666,0,1,1,102,experiment,0.65
0.054,0.946,yes,TRUE,2,0,0.3333333333333333,0,1,1,102,experiment,0.65
0.068,0.932,yes,TRUE,3,0,0.5,0,1,1,102,experiment,0.65
0.102,0.898,yes,TRUE,4,0,0.6666666666666666,0,1,1,102,experiment,0.65
0.205,0.795,no,FALSE,4,1,0.6666666666666666,0.04,0.96,0.8,102,experiment,0.65
0.244,0.756,no,FALSE,4,2,0.6666666666666666,0.08,0.92,0.6666666666666666,102,experiment,0.65
0.397,0.603,yes,TRUE,5,2,0.8333333333333334,0.08,0.92,0.7142857142857143,102,experiment,0.65
0.4,0.6,no,FALSE,5,3,0.8333333333333334,0.12,0.88,0.625,102,experiment,0.65
0.425,0.575,no,FALSE,5,4,0.8333333333333334,0.16,0.84,0.5555555555555556,102,experiment,0.65
0.459,0.541,no,FALSE,5,5,0.8333333333333334,0.2,0.8,0.5,102,experiment,0.65
0.497,0.503,no,FALSE,5,6,0.8333333333333334,0.24,0.76,0.4545454545454546,102,experiment,0.65
0.525,0.475,no,FALSE,5,7,0.8333333333333334,0.28,0.72,0.4166666666666667,102,experiment,0.65
0.535,0.465,no,FALSE,5,8,0.8333333333333334,0.32,0.6799999999999999,0.38461538461538464,102,experiment,0.65
0.536,0.464,no,FALSE,5,9,0.8333333333333334,0.36,0.64,0.35714285714285715,102,experiment,0.65
0.542,0.458,yes,TRUE,6,9,1,0.36,0.64,0.4,102,experiment,0.65
0.556,0.444,no,FALSE,6,10,1,0.4,0.6,0.375,102,experiment,0.65
0.562,0.438,no,FALSE,6,11,1,0.44,0.56,0.35294117647058826,102,experiment,0.65
0.562,0.438,no,FALSE,6,12,1,0.48,0.52,0.3333333333333333,102,experiment,0.65
0.616,0.384,no,FALSE,6,13,1,0.52,0.48,0.3157894736842105,102,experiment,0.65
0.631,0.369,no,FALSE,6,14,1,0.56,0.43999999999999995,0.3,102,experiment,0.65
0.657,0.343,no,FALSE,6,15,1,0.6,0.4,0.2857142857142857,102,experiment,0.65
0.694,0.306,no,FALSE,6,16,1,0.64,0.36,0.2727272727272727,102,experiment,0.65
0.707,0.293,no,FALSE,6,17,1,0.68,0.31999999999999995,0.2608695652173913,102,experiment,0.65
0.731,0.269,no,FALSE,6,18,1,0.72,0.28,0.25,102,experiment,0.65
0.805,0.195,no,FALSE,6,19,1,0.76,0.24,0.24,102,experiment,0.65
0.809,0.191,no,FALSE,6,20,1,0.8,0.19999999999999996,0.2307692307692308,102,experiment,0.65
0.824,0.176,no,FALSE,6,21,1,0.84,0.16000000000000003,0.2222222222222222,102,experiment,0.65
0.825,0.175,no,FALSE,6,22,1,0.88,0.12,0.21428571428571427,102,experiment,0.65
0.845,0.155,no,FALSE,6,23,1,0.92,0.07999999999999996,0.20689655172413793,102,experiment,0.65
0.859,0.141,no,FALSE,6,24,1,0.96,0.04000000000000003,0.2,102,experiment,0.65
0.922,0.078,no,FALSE,6,25,1,1,0,0.1935483870967742,102,experiment,0.65
0.145,0.855,yes,TRUE,1,0,0.1,0,1,1,103,experiment,0.65
0.187,0.813,yes,TRUE,2,0,0.2,0,1,1,103,experiment,0.65
0.197,0.803,yes,TRUE,3,0,0.3,0,1,1,103,experiment,0.65
0.217,0.783,yes,TRUE,4,0,0.4,0,1,1,103,experiment,0.65
0.227,0.773,yes,TRUE,5,0,0.5,0,1,1,103,experiment,0.65
0.255,0.745,yes,TRUE,6,0,0.6,0,1,1,103,experiment,0.65
0.326,0.674,yes,TRUE,7,0,0.7,0,1,1,103,experiment,0.65
0.341,0.659,yes,TRUE,8,0,0.8,0,1,1,103,experiment,0.65
0.461,0.539,no,FALSE,8,1,0.8,0.05263157894736842,0.9473684210526316,0.8888888888888888,103,experiment,0.65
0.559,0.441,yes,TRUE,9,1,0.9,0.05263157894736842,0.9473684210526316,0.9,103,experiment,0.65
0.572,0.428,no,FALSE,9,2,0.9,0.10526315789473684,0.8947368421052632,0.8181818181818182,103,experiment,0.65
0.632,0.368,no,FALSE,9,3,0.9,0.15789473684210523,0.8421052631578947,0.75,103,experiment,0.65
0.634,0.366,no,FALSE,9,4,0.9,0.21052631578947367,0.7894736842105263,0.6923076923076923,103,experiment,0.65
0.638,0.362,yes,TRUE,10,4,1,0.21052631578947367,0.7894736842105263,0.7142857142857143,103,experiment,0.65
0.655,0.345,no,FALSE,10,5,1,0.2631578947368421,0.736842105263158,0.6666666666666666,103,experiment,0.65
0.733,0.267,no,FALSE,10,6,1,0.3157894736842105,0.6842105263157895,0.625,103,experiment,0.65
0.761,0.239,no,FALSE,10,7,1,0.3684210526315789,0.631578947368421,0.5882352941176471,103,experiment,0.65
0.768,0.232,no,FALSE,10,8,1,0.42105263157894735,0.5789473684210527,0.5555555555555556,103,experiment,0.65
0.815,0.185,no,FALSE,10,9,1,0.47368421052631576,0.5263157894736843,0.5263157894736842,103,experiment,0.65
0.816,0.184,no,FALSE,10,10,1,0.5263157894736842,0.4736842105263158,0.5,103,experiment,0.65
0.832,0.168,no,FALSE,10,11,1,0.5789473684210527,0.42105263157894735,0.47619047619047616,103,experiment,0.65
0.835,0.165,no,FALSE,10,12,1,0.631578947368421,0.368421052631579,0.4545454545454546,103,experiment,0.65
0.839,0.161,no,FALSE,10,13,1,0.6842105263157895,0.3157894736842105,0.43478260869565216,103,experiment,0.65
0.839,0.161,no,FALSE,10,14,1,0.7368421052631579,0.26315789473684215,0.4166666666666667,103,experiment,0.65
0.845,0.155,no,FALSE,10,15,1,0.7894736842105263,0.21052631578947367,0.4,103,experiment,0.65
0.868,0.132,no,FALSE,10,16,1,0.8421052631578947,0.1578947368421053,0.38461538461538464,103,experiment,0.65
0.875,0.125,no,FALSE,10,17,1,0.8947368421052632,0.10526315789473684,0.3703703703703703,103,experiment,0.65
0.878,0.122,no,FALSE,10,18,1,0.9473684210526316,0.05263157894736847,0.35714285714285715,103,experiment,0.65
0.896,0.104,no,FALSE,10,19,1,1,0,0.3448275862068966,103,experiment,0.65
0.195,0.805,yes,TRUE,1,0,0.0625,0,1,1,104,experiment,0.65
0.197,0.803,yes,TRUE,2,0,0.125,0,1,1,104,experiment,0.65
0.198,0.802,yes,TRUE,3,0,0.1875,0,1,1,104,experiment,0.65
0.203,0.797,yes,TRUE,4,0,0.25,0,1,1,104,experiment,0.65
0.241,0.759,yes,TRUE,5,0,0.3125,0,1,1,104,experiment,0.65
0.289,0.711,yes,TRUE,6,0,0.375,0,1,1,104,experiment,0.65
0.295,0.705,yes,TRUE,7,0,0.4375,0,1,1,104,experiment,0.65
0.367,0.633,yes,TRUE,8,0,0.5,0,1,1,104,experiment,0.65
0.376,0.624,yes,TRUE,9,0,0.5625,0,1,1,104,experiment,0.65
0.442,0.558,yes,TRUE,10,0,0.625,0,1,1,104,experiment,0.65
0.456,0.544,yes,TRUE,11,0,0.6875,0,1,1,104,experiment,0.65
0.476,0.524,no,FALSE,11,1,0.6875,0.05263157894736842,0.9473684210526316,0.9166666666666666,104,experiment,0.65
0.644,0.356,yes,TRUE,12,1,0.75,0.05263157894736842,0.9473684210526316,0.9230769230769232,104,experiment,0.65
0.655,0.345,no,FALSE,12,2,0.75,0.10526315789473684,0.8947368421052632,0.8571428571428571,104,experiment,0.65
0.657,0.343,yes,TRUE,13,2,0.8125,0.10526315789473684,0.8947368421052632,0.8666666666666667,104,experiment,0.65
0.766,0.234,yes,TRUE,14,2,0.875,0.10526315789473684,0.8947368421052632,0.875,104,experiment,0.65
0.796,0.204,yes,TRUE,15,2,0.9375,0.10526315789473684,0.8947368421052632,0.8823529411764706,104,experiment,0.65
0.804,0.196,yes,TRUE,16,2,1,0.10526315789473684,0.8947368421052632,0.8888888888888888,104,experiment,0.65
0.825,0.175,no,FALSE,16,3,1,0.15789473684210523,0.8421052631578947,0.8421052631578947,104,experiment,0.65
0.833,0.167,no,FALSE,16,4,1,0.21052631578947367,0.7894736842105263,0.8,104,experiment,0.65
0.842,0.158,no,FALSE,16,5,1,0.2631578947368421,0.736842105263158,0.7619047619047619,104,experiment,0.65
0.856,0.144,no,FALSE,16,6,1,0.3157894736842105,0.6842105263157895,0.7272727272727273,104,experiment,0.65
0.869,0.131,no,FALSE,16,7,1,0.3684210526315789,0.631578947368421,0.6956521739130435,104,experiment,0.65
0.87,0.13,no,FALSE,16,8,1,0.42105263157894735,0.5789473684210527,0.6666666666666666,104,experiment,0.65
0.875,0.125,no,FALSE,16,9,1,0.47368421052631576,0.5263157894736843,0.64,104,experiment,0.65
0.887,0.113,no,FALSE,16,10,1,0.5263157894736842,0.4736842105263158,0.6153846153846154,104,experiment,0.65
0.896,0.104,no,FALSE,16,11,1,0.5789473684210527,0.42105263157894735,0.5925925925925926,104,experiment,0.65
0.901,0.099,no,FALSE,16,12,1,0.631578947368421,0.368421052631579,0.5714285714285714,104,experiment,0.65
0.906,0.094,no,FALSE,16,13,1,0.6842105263157895,0.3157894736842105,0.5517241379310345,104,experiment,0.65
0.918,0.082,no,FALSE,16,14,1,0.7368421052631579,0.26315789473684215,0.5333333333333333,104,experiment,0.65
0.922,0.078,no,FALSE,16,15,1,0.7894736842105263,0.21052631578947367,0.5161290322580645,104,experiment,0.65
0.938,0.062,no,FALSE,16,16,1,0.8421052631578947,0.1578947368421053,0.5,104,experiment,0.65
0.948,0.052,no,FALSE,16,17,1,0.8947368421052632,0.10526315789473684,0.48484848484848486,104,experiment,0.65
0.953,0.047,no,FALSE,16,18,1,0.9473684210526316,0.05263157894736847,0.4705882352941176,104,experiment,0.65
0.958,0.042,no,FALSE,16,19,1,1,0,0.45714285714285713,104,experiment,0.65
0.119,0.881,yes,TRUE,1,0,0.1111111111111111,0,1,1,105,experiment,0.65
0.178,0.822,yes,TRUE,2,0,0.2222222222222222,0,1,1,105,experiment,0.65
0.201,0.799,yes,TRUE,3,0,0.3333333333333333,0,1,1,105,experiment,0.65
0.217,0.783,yes,TRUE,4,0,0.4444444444444444,0,1,1,105,experiment,0.65
0.271,0.729,yes,TRUE,5,0,0.5555555555555556,0,1,1,105,experiment,0.65
0.279,0.721,yes,TRUE,6,0,0.6666666666666666,0,1,1,105,experiment,0.65
0.329,0.671,yes,TRUE,7,0,0.7777777777777778,0,1,1,105,experiment,0.65
0.352,0.648,yes,TRUE,8,0,0.8888888888888888,0,1,1,105,experiment,0.65
0.607,0.393,no,FALSE,8,1,0.8888888888888888,0.07692307692307693,0.9230769230769232,0.8888888888888888,105,experiment,0.65
0.666,0.334,yes,TRUE,9,1,1,0.07692307692307693,0.9230769230769232,0.9,105,experiment,0.65
0.725,0.275,no,FALSE,9,2,1,0.15384615384615383,0.8461538461538461,0.8181818181818182,105,experiment,0.65
0.765,0.235,no,FALSE,9,3,1,0.2307692307692308,0.7692307692307692,0.75,105,experiment,0.65
0.796,0.204,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,105,experiment,0.65
0.811,0.189,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,105,experiment,0.65
0.817,0.183,no,FALSE,9,6,1,0.4615384615384616,0.5384615384615384,0.6,105,experiment,0.65
0.832,0.168,no,FALSE,9,7,1,0.5384615384615384,0.4615384615384616,0.5625,105,experiment,0.65
0.86,0.14,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,105,experiment,0.65
0.878,0.122,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,105,experiment,0.65
0.881,0.119,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,105,experiment,0.65
0.886,0.114,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615383,0.45,105,experiment,0.65
0.9,0.1,no,FALSE,9,12,1,0.9230769230769232,0.07692307692307687,0.42857142857142855,105,experiment,0.65
0.92,0.08,no,FALSE,9,13,1,1,0,0.4090909090909091,105,experiment,0.65
0.022,0.978,yes,TRUE,1,0,0.08333333333333333,0,1,1,106,experiment,0.65
0.04,0.96,yes,TRUE,2,0,0.16666666666666666,0,1,1,106,experiment,0.65
0.153,0.847,yes,TRUE,3,0,0.25,0,1,1,106,experiment,0.65
0.172,0.828,yes,TRUE,4,0,0.3333333333333333,0,1,1,106,experiment,0.65
0.194,0.806,yes,TRUE,5,0,0.4166666666666667,0,1,1,106,experiment,0.65
0.303,0.697,yes,TRUE,6,0,0.5,0,1,1,106,experiment,0.65
0.311,0.689,no,FALSE,6,1,0.5,0.03571428571428571,0.9642857142857144,0.8571428571428571,106,experiment,0.65
0.322,0.678,no,FALSE,6,2,0.5,0.07142857142857142,0.9285714285714286,0.75,106,experiment,0.65
0.357,0.643,yes,TRUE,7,2,0.5833333333333334,0.07142857142857142,0.9285714285714286,0.7777777777777778,106,experiment,0.65
0.378,0.622,no,FALSE,7,3,0.5833333333333334,0.10714285714285714,0.8928571428571429,0.7,106,experiment,0.65
0.408,0.592,yes,TRUE,8,3,0.6666666666666666,0.10714285714285714,0.8928571428571429,0.7272727272727273,106,experiment,0.65
0.419,0.581,no,FALSE,8,4,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.6666666666666666,106,experiment,0.65
0.426,0.574,no,FALSE,8,5,0.6666666666666666,0.17857142857142858,0.8214285714285714,0.6153846153846154,106,experiment,0.65
0.465,0.535,yes,TRUE,9,5,0.75,0.17857142857142858,0.8214285714285714,0.6428571428571429,106,experiment,0.65
0.502,0.498,yes,TRUE,10,5,0.8333333333333334,0.17857142857142858,0.8214285714285714,0.6666666666666666,106,experiment,0.65
0.514,0.486,yes,TRUE,11,5,0.9166666666666666,0.17857142857142858,0.8214285714285714,0.6875,106,experiment,0.65
0.535,0.465,no,FALSE,11,6,0.9166666666666666,0.21428571428571427,0.7857142857142857,0.6470588235294118,106,experiment,0.65
0.547,0.453,yes,TRUE,12,6,1,0.21428571428571427,0.7857142857142857,0.6666666666666666,106,experiment,0.65
0.557,0.443,no,FALSE,12,7,1,0.25,0.75,0.631578947368421,106,experiment,0.65
0.561,0.439,no,FALSE,12,8,1,0.2857142857142857,0.7142857142857143,0.6,106,experiment,0.65
0.572,0.428,no,FALSE,12,9,1,0.32142857142857145,0.6785714285714286,0.5714285714285714,106,experiment,0.65
0.59,0.41,no,FALSE,12,10,1,0.35714285714285715,0.6428571428571428,0.5454545454545454,106,experiment,0.65
0.591,0.409,no,FALSE,12,11,1,0.3928571428571429,0.6071428571428572,0.5217391304347826,106,experiment,0.65
0.651,0.349,no,FALSE,12,12,1,0.42857142857142855,0.5714285714285714,0.5,106,experiment,0.65
0.658,0.342,no,FALSE,12,13,1,0.4642857142857143,0.5357142857142857,0.48,106,experiment,0.65
0.672,0.328,no,FALSE,12,14,1,0.5,0.5,0.4615384615384616,106,experiment,0.65
0.672,0.328,no,FALSE,12,15,1,0.5357142857142857,0.4642857142857143,0.4444444444444444,106,experiment,0.65
0.679,0.321,no,FALSE,12,16,1,0.5714285714285714,0.4285714285714286,0.42857142857142855,106,experiment,0.65
0.685,0.315,no,FALSE,12,17,1,0.6071428571428571,0.3928571428571429,0.41379310344827586,106,experiment,0.65
0.752,0.248,no,FALSE,12,18,1,0.6428571428571429,0.3571428571428571,0.4,106,experiment,0.65
0.764,0.236,no,FALSE,12,19,1,0.6785714285714286,0.3214285714285714,0.3870967741935484,106,experiment,0.65
0.765,0.235,no,FALSE,12,20,1,0.7142857142857143,0.2857142857142857,0.375,106,experiment,0.65
0.766,0.234,no,FALSE,12,21,1,0.75,0.25,0.3636363636363637,106,experiment,0.65
0.843,0.157,no,FALSE,12,22,1,0.7857142857142857,0.2142857142857143,0.35294117647058826,106,experiment,0.65
0.881,0.119,no,FALSE,12,23,1,0.8214285714285714,0.1785714285714286,0.34285714285714286,106,experiment,0.65
0.89,0.11,no,FALSE,12,24,1,0.8571428571428571,0.1428571428571429,0.3333333333333333,106,experiment,0.65
0.9,0.1,no,FALSE,12,25,1,0.8928571428571429,0.1071428571428571,0.32432432432432434,106,experiment,0.65
0.91,0.09,no,FALSE,12,26,1,0.9285714285714286,0.0714285714285714,0.3157894736842105,106,experiment,0.65
0.938,0.062,no,FALSE,12,27,1,0.9642857142857144,0.0357142857142857,0.3076923076923077,106,experiment,0.65
0.952,0.048,no,FALSE,12,28,1,1,0,0.3,106,experiment,0.65
0.006,0.994,yes,TRUE,1,0,0.09090909090909093,0,1,1,107,experiment,0.65
0.011,0.989,yes,TRUE,2,0,0.18181818181818185,0,1,1,107,experiment,0.65
0.107,0.893,yes,TRUE,3,0,0.2727272727272727,0,1,1,107,experiment,0.65
0.187,0.813,yes,TRUE,4,0,0.3636363636363637,0,1,1,107,experiment,0.65
0.232,0.768,yes,TRUE,5,0,0.4545454545454546,0,1,1,107,experiment,0.65
0.33,0.67,yes,TRUE,6,0,0.5454545454545454,0,1,1,107,experiment,0.65
0.357,0.643,yes,TRUE,7,0,0.6363636363636364,0,1,1,107,experiment,0.65
0.378,0.622,no,FALSE,7,1,0.6363636363636364,0.04545454545454545,0.9545454545454546,0.875,107,experiment,0.65
0.406,0.594,no,FALSE,7,2,0.6363636363636364,0.09090909090909093,0.9090909090909092,0.7777777777777778,107,experiment,0.65
0.413,0.587,no,FALSE,7,3,0.6363636363636364,0.13636363636363635,0.8636363636363636,0.7,107,experiment,0.65
0.43,0.57,yes,TRUE,8,3,0.7272727272727273,0.13636363636363635,0.8636363636363636,0.7272727272727273,107,experiment,0.65
0.501,0.499,no,FALSE,8,4,0.7272727272727273,0.18181818181818185,0.8181818181818181,0.6666666666666666,107,experiment,0.65
0.538,0.462,no,FALSE,8,5,0.7272727272727273,0.2272727272727273,0.7727272727272727,0.6153846153846154,107,experiment,0.65
0.578,0.422,no,FALSE,8,6,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.5714285714285714,107,experiment,0.65
0.586,0.414,no,FALSE,8,7,0.7272727272727273,0.3181818181818182,0.6818181818181819,0.5333333333333333,107,experiment,0.65
0.612,0.388,yes,TRUE,9,7,0.8181818181818182,0.3181818181818182,0.6818181818181819,0.5625,107,experiment,0.65
0.616,0.384,no,FALSE,9,8,0.8181818181818182,0.3636363636363637,0.6363636363636364,0.5294117647058824,107,experiment,0.65
0.621,0.379,no,FALSE,9,9,0.8181818181818182,0.4090909090909091,0.5909090909090908,0.5,107,experiment,0.65
0.622,0.378,yes,TRUE,10,9,0.9090909090909092,0.4090909090909091,0.5909090909090908,0.5263157894736842,107,experiment,0.65
0.672,0.328,no,FALSE,10,10,0.9090909090909092,0.4545454545454546,0.5454545454545454,0.5,107,experiment,0.65
0.729,0.271,yes,TRUE,11,10,1,0.4545454545454546,0.5454545454545454,0.5238095238095238,107,experiment,0.65
0.765,0.235,no,FALSE,11,11,1,0.5,0.5,0.5,107,experiment,0.65
0.769,0.231,no,FALSE,11,12,1,0.5454545454545454,0.4545454545454546,0.4782608695652174,107,experiment,0.65
0.791,0.209,no,FALSE,11,13,1,0.5909090909090909,0.40909090909090906,0.4583333333333333,107,experiment,0.65
0.857,0.143,no,FALSE,11,14,1,0.6363636363636364,0.3636363636363637,0.44,107,experiment,0.65
0.865,0.135,no,FALSE,11,15,1,0.6818181818181818,0.31818181818181823,0.4230769230769231,107,experiment,0.65
0.895,0.105,no,FALSE,11,16,1,0.7272727272727273,0.2727272727272727,0.4074074074074074,107,experiment,0.65
0.899,0.101,no,FALSE,11,17,1,0.7727272727272727,0.2272727272727273,0.3928571428571429,107,experiment,0.65
0.903,0.097,no,FALSE,11,18,1,0.8181818181818182,0.18181818181818177,0.3793103448275862,107,experiment,0.65
0.933,0.067,no,FALSE,11,19,1,0.8636363636363636,0.13636363636363635,0.36666666666666664,107,experiment,0.65
0.958,0.042,no,FALSE,11,20,1,0.9090909090909092,0.09090909090909094,0.3548387096774194,107,experiment,0.65
0.964,0.036,no,FALSE,11,21,1,0.9545454545454546,0.04545454545454541,0.34375,107,experiment,0.65
0.971,0.029,no,FALSE,11,22,1,1,0,0.3333333333333333,107,experiment,0.65
0.055,0.945,yes,TRUE,1,0,0.06666666666666667,0,1,1,108,experiment,0.65
0.08,0.92,yes,TRUE,2,0,0.13333333333333333,0,1,1,108,experiment,0.65
0.117,0.883,yes,TRUE,3,0,0.2,0,1,1,108,experiment,0.65
0.13,0.87,yes,TRUE,4,0,0.26666666666666666,0,1,1,108,experiment,0.65
0.171,0.829,yes,TRUE,5,0,0.3333333333333333,0,1,1,108,experiment,0.65
0.172,0.828,yes,TRUE,6,0,0.4,0,1,1,108,experiment,0.65
0.179,0.821,yes,TRUE,7,0,0.4666666666666667,0,1,1,108,experiment,0.65
0.189,0.811,yes,TRUE,8,0,0.5333333333333333,0,1,1,108,experiment,0.65
0.275,0.725,yes,TRUE,9,0,0.6,0,1,1,108,experiment,0.65
0.33,0.67,yes,TRUE,10,0,0.6666666666666666,0,1,1,108,experiment,0.65
0.414,0.586,yes,TRUE,11,0,0.7333333333333333,0,1,1,108,experiment,0.65
0.416,0.584,no,FALSE,11,1,0.7333333333333333,0.03703703703703703,0.962962962962963,0.9166666666666666,108,experiment,0.65
0.43,0.57,no,FALSE,11,2,0.7333333333333333,0.07407407407407407,0.925925925925926,0.8461538461538461,108,experiment,0.65
0.454,0.546,no,FALSE,11,3,0.7333333333333333,0.1111111111111111,0.8888888888888888,0.7857142857142857,108,experiment,0.65
0.458,0.542,no,FALSE,11,4,0.7333333333333333,0.14814814814814814,0.8518518518518519,0.7333333333333333,108,experiment,0.65
0.468,0.532,yes,TRUE,12,4,0.8,0.14814814814814814,0.8518518518518519,0.75,108,experiment,0.65
0.484,0.516,no,FALSE,12,5,0.8,0.18518518518518515,0.8148148148148149,0.7058823529411765,108,experiment,0.65
0.538,0.462,no,FALSE,12,6,0.8,0.2222222222222222,0.7777777777777778,0.6666666666666666,108,experiment,0.65
0.566,0.434,yes,TRUE,13,6,0.8666666666666667,0.2222222222222222,0.7777777777777778,0.6842105263157895,108,experiment,0.65
0.569,0.431,no,FALSE,13,7,0.8666666666666667,0.25925925925925924,0.7407407407407407,0.65,108,experiment,0.65
0.571,0.429,yes,TRUE,14,7,0.9333333333333332,0.25925925925925924,0.7407407407407407,0.6666666666666666,108,experiment,0.65
