cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed,groups,train_frac
0.952868546008137,0.424915157217583,0.933333333333333,0.784402557319224,0.714285714285714,0.428571428571429,0.666666666666667,0.8,0.666666666666667,0.571428571428572,0.857142857142857,0.571428571428571,0.8,0.285714285714286,0.733333333333333,rf,100,cage,0.8
0.951302907078752,0.474493912454019,0.946153846153846,0.861075164152087,0.782608695652174,0.572490706319703,0.782608695652174,0.9,0.692307692307692,0.692307692307692,0.9,0.692307692307692,0.9,0.391304347826087,0.796153846153846,rf,100,cage,0.7
0.951302907078752,0.474493912454019,0.946153846153846,0.861075164152087,0.782608695652174,0.572490706319703,0.782608695652174,0.9,0.692307692307692,0.692307692307692,0.9,0.692307692307692,0.9,0.391304347826087,0.796153846153846,rf,100,cage,0.65
0.979333333333333,0.447824153044621,0.933884297520661,0.846135752987357,0.772727272727273,0.545454545454545,0.736842105263158,0.636363636363636,0.909090909090909,0.875,0.714285714285714,0.875,0.636363636363636,0.318181818181818,0.772727272727273,rf,100,experiment,0.8
0.979333333333333,0.447824153044621,0.933884297520661,0.846135752987357,0.772727272727273,0.545454545454545,0.736842105263158,0.636363636363636,0.909090909090909,0.875,0.714285714285714,0.875,0.636363636363636,0.318181818181818,0.772727272727273,rf,100,experiment,0.7
0.979333333333333,0.447824153044621,0.933884297520661,0.846135752987357,0.772727272727273,0.545454545454545,0.736842105263158,0.636363636363636,0.909090909090909,0.875,0.714285714285714,0.875,0.636363636363636,0.318181818181818,0.772727272727273,rf,100,experiment,0.65
0.953646019210244,0.272828527077215,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,rf,101,cage,0.8
0.964608728770267,0.340958143235401,1,0.720588235294118,0.947368421052632,0.771084337349398,0.96969696969697,0.941176470588235,1,1,0.666666666666667,1,0.941176470588235,0.842105263157895,0.970588235294118,rf,101,cage,0.7
0.960977621994535,0.351291460887271,1,0.726190476190476,0.91304347826087,0.622950819672131,0.95,0.904761904761905,1,1,0.5,1,0.904761904761905,0.826086956521739,0.952380952380952,rf,101,cage,0.65
0.971486111111111,0.291603780822786,0.981818181818182,0.832252066115702,0.875,0.709090909090909,0.8,0.8,0.909090909090909,0.8,0.909090909090909,0.8,0.8,0.25,0.854545454545454,rf,101,experiment,0.8
0.970673611111111,0.48140740520577,0.963636363636364,0.825706675210004,0.777777777777778,0.496894409937888,0.625,1,0.727272727272727,0.454545454545455,1,0.454545454545455,1,0.185185185185185,0.863636363636364,rf,101,experiment,0.7
0.970673611111111,0.48140740520577,0.963636363636364,0.825706675210004,0.777777777777778,0.496894409937888,0.625,1,0.727272727272727,0.454545454545455,1,0.454545454545455,1,0.185185185185185,0.863636363636364,rf,101,experiment,0.65
0.930885960021014,0.176576050939223,1,0.461538461538462,1,1,1,1,1,1,1,1,1,0.0714285714285714,1,rf,102,cage,0.8
0.900856021434855,0.234261757292265,1,0.725,1,1,1,1,1,1,1,1,1,0.0909090909090909,1,rf,102,cage,0.7
0.900856021434855,0.234261757292265,1,0.725,1,1,1,1,1,1,1,1,1,0.0909090909090909,1,rf,102,cage,0.65
0.980222222222222,0.321424556880872,0.952380952380952,0.823292233560091,0.85,0.625,0.727272727272727,0.666666666666667,0.928571428571429,0.8,0.866666666666667,0.8,0.666666666666667,0.2,0.797619047619048,rf,102,experiment,0.8
0.980222222222222,0.321424556880872,0.952380952380952,0.823292233560091,0.85,0.625,0.727272727272727,0.666666666666667,0.928571428571429,0.8,0.866666666666667,0.8,0.666666666666667,0.2,0.797619047619048,rf,102,experiment,0.7
0.981,0.485902483830057,0.926666666666667,0.809108417578393,0.774193548387097,0.450632911392405,0.844444444444444,0.76,0.833333333333333,0.95,0.454545454545455,0.95,0.76,0.612903225806452,0.796666666666667,rf,102,experiment,0.65
0.934773938929247,0.229190550193386,1,0.458333333333333,1,1,1,1,1,1,1,1,1,0.923076923076923,1,rf,103,cage,0.8
0.921371799910825,0.277805073955207,1,0.870588235294118,0.909090909090909,0.698630136986301,0.944444444444444,1,0.6,0.894736842105263,1,0.894736842105263,1,0.772727272727273,0.8,rf,103,cage,0.7
0.921371799910825,0.277805073955207,1,0.870588235294118,0.909090909090909,0.698630136986301,0.944444444444444,1,0.6,0.894736842105263,1,0.894736842105263,1,0.772727272727273,0.8,rf,103,cage,0.65
0.974825396825397,0.253098419070892,0.975,0.811788194444444,0.923076923076923,0.831168831168831,0.888888888888889,0.8,1,1,0.888888888888889,1,0.8,0.307692307692308,0.9,rf,103,experiment,0.8
0.981288888888889,0.315648423967336,0.952380952380952,0.823292233560091,0.85,0.625,0.727272727272727,0.666666666666667,0.928571428571429,0.8,0.866666666666667,0.8,0.666666666666667,0.2,0.797619047619048,rf,103,experiment,0.7
0.972125,0.322498588605132,0.973684210526316,0.89647748049074,0.896551724137931,0.765498652291105,0.842105263157895,0.8,0.947368421052632,0.888888888888889,0.9,0.888888888888889,0.8,0.275862068965517,0.873684210526316,rf,103,experiment,0.65
0.939451672834046,0.389777318307061,0.904761904761905,0.760265495086924,0.769230769230769,0.518518518518519,0.666666666666667,0.5,1,1,0.7,1,0.5,0.230769230769231,0.75,rf,104,cage,0.8
0.918224281759017,0.299657976236446,0.989583333333333,0.885116185897436,0.9,0.782608695652174,0.857142857142857,0.75,1,1,0.857142857142857,1,0.75,0.3,0.875,rf,104,cage,0.7
0.898284636174152,0.294949758809499,1,0.908333333333333,0.909090909090909,0.813559322033898,0.888888888888889,0.8,1,1,0.857142857142857,1,0.8,0.363636363636364,0.9,rf,104,cage,0.65
0.975115079365079,0.255645479701133,0.975,0.811788194444444,0.923076923076923,0.831168831168831,0.888888888888889,0.8,1,1,0.888888888888889,1,0.8,0.307692307692308,0.9,rf,104,experiment,0.8
0.98155,0.395286745489063,0.970394736842105,0.913712312761646,0.828571428571429,0.64765100671141,0.785714285714286,0.6875,0.947368421052632,0.916666666666667,0.782608695652174,0.916666666666667,0.6875,0.314285714285714,0.817434210526316,rf,104,experiment,0.7
0.98155,0.395286745489063,0.970394736842105,0.913712312761646,0.828571428571429,0.64765100671141,0.785714285714286,0.6875,0.947368421052632,0.916666666666667,0.782608695652174,0.916666666666667,0.6875,0.314285714285714,0.817434210526316,rf,104,experiment,0.65
0.920536105188744,0.254222883973713,NA,NA,0.933333333333333,0,0.96551724137931,0.933333333333333,NA,NA,NA,1,0.933333333333333,0.933333333333333,NA,rf,105,cage,0.8
0.934402847949805,0.288501292526475,0.958333333333333,0.723169424019608,0.894736842105263,0.604166666666667,0.9375,0.9375,0.666666666666667,0.9375,0.666666666666667,0.9375,0.9375,0.789473684210526,0.802083333333333,rf,105,cage,0.7
0.948375202581258,0.349075621862783,0.946428571428571,0.828782061070042,0.869565217391304,0.649746192893401,0.914285714285714,1,0.571428571428571,0.842105263157895,1,0.842105263157895,1,0.695652173913043,0.785714285714286,rf,105,cage,0.65
0.973646825396825,0.261404937847176,0.975,0.811788194444444,0.923076923076923,0.831168831168831,0.888888888888889,0.8,1,1,0.888888888888889,1,0.8,0.307692307692308,0.9,rf,105,experiment,0.8
0.95775,0.272380569271786,0.991452991452991,0.897265792137587,0.954545454545455,0.904347826086957,0.941176470588235,0.888888888888889,1,1,0.928571428571428,1,0.888888888888889,0.363636363636364,0.944444444444444,rf,105,experiment,0.7
0.95775,0.272380569271786,0.991452991452991,0.897265792137587,0.954545454545455,0.904347826086957,0.941176470588235,0.888888888888889,1,1,0.928571428571428,1,0.888888888888889,0.363636363636364,0.944444444444444,rf,105,experiment,0.65
0.955122619863396,0.263514766056905,0.975,0.811788194444444,0.923076923076923,0.831168831168831,0.941176470588235,1,0.8,0.888888888888889,1,0.888888888888889,1,0.615384615384615,0.9,rf,106,cage,0.8
0.936798858267246,0.287025072062153,0.976190476190476,0.863070956820957,0.947368421052632,0.883435582822086,0.923076923076923,0.857142857142857,1,1,0.923076923076923,1,0.857142857142857,0.315789473684211,0.928571428571429,rf,106,cage,0.7
0.915536472709838,0.282229965006482,0.985294117647059,0.891427575932334,0.92,0.816176470588235,0.875,0.875,0.941176470588235,0.875,0.941176470588235,0.875,0.875,0.28,0.908088235294118,rf,106,cage,0.65
