perf_metric,perf_metric_diff,pvalue,names,method,perf_metric_name,seed,groups,test_group,train_frac
0.9665811965811966,-7.692307692307443e-4,0.09,Otu00001,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9694017094017094,-0.00358974358974362,0.62,Otu00002,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9734188034188034,-0.00760683760683755,0.89,Otu00003,rf,AUC,100,exp_id_number,fmt_1,0.65
0.966153846153846,-3.4188034188031846e-4,0.08,Otu00004,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9692735042735042,-0.0034615384615384,0.42,Otu00005,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971965811965812,-0.00615384615384617,0.73,Otu00006,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9657692307692308,4.2735042734998174e-5,0.14,Otu00007,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9694017094017094,-0.00358974358974362,0.57,Otu00008,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971965811965812,-0.00615384615384617,0.72,Otu00009,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9685042735042736,-0.00269230769230766,0.32,Otu00010,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9723076923076924,-0.00649572649572649,0.76,Otu00011,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9690598290598292,-0.0032478632478633,0.24,Otu00012,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9683760683760684,-0.00256410256410255,0.47,Otu00013,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00014,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9682905982905984,-0.00247863247863244,0.31,Otu00015,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9676495726495726,-0.0018376068376068,0.24,Otu00016,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9664957264957263,-6.837606837606369e-4,0.13,Otu00017,rf,AUC,100,exp_id_number,fmt_1,0.65
0.966153846153846,-3.4188034188031846e-4,0.04,Otu00018,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9717521367521368,-0.00594017094017096,0.74,Otu00019,rf,AUC,100,exp_id_number,fmt_1,0.65
0.97,-0.00418803418803415,0.62,Otu00020,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00021,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9730769230769232,-0.00726495726495723,0.85,Otu00022,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9708547008547008,-0.005042735042735,0.61,Otu00023,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9738034188034188,-0.00799145299145298,0.98,Otu00024,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9673076923076924,-0.00149572649572649,0.2,Otu00025,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00026,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9676923076923076,-0.00188034188034191,0.23,Otu00027,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00028,rf,AUC,100,exp_id_number,fmt_1,0.65
0.969102564102564,-0.0032905982905983,0.43,Otu00029,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9662820512820512,-4.70085470085424e-4,0.11,Otu00030,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9698717948717948,-0.00405982905982904,0.49,Otu00031,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9716239316239316,-0.00581196581196574,0.68,Otu00032,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971880341880342,-0.00606837606837606,0.72,Otu00033,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9664529914529916,-6.410256410256387e-4,0.12,Otu00034,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00035,rf,AUC,100,exp_id_number,fmt_1,0.65
0.970897435897436,-0.00508547008547011,0.67,Otu00036,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971025641025641,-0.00521367521367521,0.61,Otu00037,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9706410256410256,-0.00482905982905979,0.57,Otu00038,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9722222222222222,-0.00641025641025638,0.79,Otu00039,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9687606837606838,-0.00294871794871798,0.49,Otu00040,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9688034188034188,-0.00299145299145298,0.35,Otu00041,rf,AUC,100,exp_id_number,fmt_1,0.65
0.968931623931624,-0.00311965811965808,0.52,Otu00042,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9669230769230768,-0.00111111111111106,0.18,Otu00043,rf,AUC,100,exp_id_number,fmt_1,0.65
