no,yes,actual,is_pos,tp,fp,sensitivity,fpr,specificity,precision,seed,groups,train_frac,test_group
0.09,0.91,yes,TRUE,1,0,0.1111111111111111,0,1,1,100,exp_id_number,0.65,fmt_1
0.208,0.792,yes,TRUE,2,0,0.2222222222222222,0,1,1,100,exp_id_number,0.65,fmt_1
0.224,0.776,yes,TRUE,3,0,0.3333333333333333,0,1,1,100,exp_id_number,0.65,fmt_1
0.247,0.753,yes,TRUE,4,0,0.4444444444444444,0,1,1,100,exp_id_number,0.65,fmt_1
0.258,0.742,yes,TRUE,5,0,0.5555555555555556,0,1,1,100,exp_id_number,0.65,fmt_1
0.269,0.731,yes,TRUE,6,0,0.6666666666666666,0,1,1,100,exp_id_number,0.65,fmt_1
0.399,0.601,yes,TRUE,7,0,0.7777777777777778,0,1,1,100,exp_id_number,0.65,fmt_1
0.529,0.471,no,FALSE,7,1,0.7777777777777778,0.07692307692307693,0.9230769230769231,0.875,100,exp_id_number,0.65,fmt_1
0.688,0.312,yes,TRUE,8,1,0.8888888888888888,0.07692307692307693,0.9230769230769231,0.8888888888888888,100,exp_id_number,0.65,fmt_1
0.721,0.279,no,FALSE,8,2,0.8888888888888888,0.15384615384615385,0.8461538461538461,0.8,100,exp_id_number,0.65,fmt_1
0.753,0.247,no,FALSE,8,3,0.8888888888888888,0.23076923076923078,0.7692307692307692,0.7272727272727273,100,exp_id_number,0.65,fmt_1
0.754,0.246,yes,TRUE,9,3,1,0.23076923076923078,0.7692307692307692,0.75,100,exp_id_number,0.65,fmt_1
0.817,0.183,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,100,exp_id_number,0.65,fmt_1
0.833,0.167,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,100,exp_id_number,0.65,fmt_1
0.847,0.153,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,100,exp_id_number,0.65,fmt_1
0.853,0.147,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,100,exp_id_number,0.65,fmt_1
0.86,0.14,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,100,exp_id_number,0.65,fmt_1
0.864,0.136,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,100,exp_id_number,0.65,fmt_1
0.868,0.132,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,100,exp_id_number,0.65,fmt_1
0.882,0.118,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,100,exp_id_number,0.65,fmt_1
0.924,0.076,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,100,exp_id_number,0.65,fmt_1
0.942,0.058,no,FALSE,9,13,1,1,0,0.4090909090909091,100,exp_id_number,0.65,fmt_1
0.012,0.988,yes,TRUE,1,0,0.16666666666666666,0,1,1,100,exp_id_number,0.65,fmt_2
0.021,0.979,yes,TRUE,2,0,0.3333333333333333,0,1,1,100,exp_id_number,0.65,fmt_2
0.052,0.948,yes,TRUE,3,0,0.5,0,1,1,100,exp_id_number,0.65,fmt_2
0.06,0.94,yes,TRUE,4,0,0.6666666666666666,0,1,1,100,exp_id_number,0.65,fmt_2
0.294,0.706,yes,TRUE,5,0,0.8333333333333334,0,1,1,100,exp_id_number,0.65,fmt_2
0.356,0.644,no,FALSE,5,1,0.8333333333333334,0.0625,0.9375,0.8333333333333334,100,exp_id_number,0.65,fmt_2
0.427,0.573,no,FALSE,5,2,0.8333333333333334,0.125,0.875,0.7142857142857143,100,exp_id_number,0.65,fmt_2
0.454,0.546,no,FALSE,5,3,0.8333333333333334,0.1875,0.8125,0.625,100,exp_id_number,0.65,fmt_2
0.485,0.515,no,FALSE,5,4,0.8333333333333334,0.25,0.75,0.5555555555555556,100,exp_id_number,0.65,fmt_2
0.5,0.5,no,FALSE,5,5,0.8333333333333334,0.3125,0.6875,0.5,100,exp_id_number,0.65,fmt_2
0.545,0.455,no,FALSE,5,6,0.8333333333333334,0.375,0.625,0.45454545454545453,100,exp_id_number,0.65,fmt_2
0.546,0.454,no,FALSE,5,7,0.8333333333333334,0.4375,0.5625,0.4166666666666667,100,exp_id_number,0.65,fmt_2
0.589,0.411,no,FALSE,5,8,0.8333333333333334,0.5,0.5,0.38461538461538464,100,exp_id_number,0.65,fmt_2
0.619,0.381,no,FALSE,5,9,0.8333333333333334,0.5625,0.4375,0.35714285714285715,100,exp_id_number,0.65,fmt_2
0.63,0.37,yes,TRUE,6,9,1,0.5625,0.4375,0.4,100,exp_id_number,0.65,fmt_2
0.647,0.353,no,FALSE,6,10,1,0.625,0.375,0.375,100,exp_id_number,0.65,fmt_2
0.697,0.303,no,FALSE,6,11,1,0.6875,0.3125,0.35294117647058826,100,exp_id_number,0.65,fmt_2
0.729,0.271,no,FALSE,6,12,1,0.75,0.25,0.3333333333333333,100,exp_id_number,0.65,fmt_2
0.745,0.255,no,FALSE,6,13,1,0.8125,0.1875,0.3157894736842105,100,exp_id_number,0.65,fmt_2
0.757,0.243,no,FALSE,6,14,1,0.875,0.125,0.3,100,exp_id_number,0.65,fmt_2
0.819,0.181,no,FALSE,6,15,1,0.9375,0.0625,0.2857142857142857,100,exp_id_number,0.65,fmt_2
0.884,0.116,no,FALSE,6,16,1,1,0,0.2727272727272727,100,exp_id_number,0.65,fmt_2
0.044,0.956,yes,TRUE,1,0,0.1111111111111111,0,1,1,100,exp_id_number,0.65,p40_1
0.048,0.952,yes,TRUE,2,0,0.2222222222222222,0,1,1,100,exp_id_number,0.65,p40_1
0.097,0.903,yes,TRUE,3,0,0.3333333333333333,0,1,1,100,exp_id_number,0.65,p40_1
0.172,0.828,yes,TRUE,4,0,0.4444444444444444,0,1,1,100,exp_id_number,0.65,p40_1
0.43,0.57,yes,TRUE,5,0,0.5555555555555556,0,1,1,100,exp_id_number,0.65,p40_1
0.521,0.479,no,FALSE,5,1,0.5555555555555556,0.07692307692307693,0.9230769230769231,0.8333333333333334,100,exp_id_number,0.65,p40_1
0.613,0.387,no,FALSE,5,2,0.5555555555555556,0.15384615384615385,0.8461538461538461,0.7142857142857143,100,exp_id_number,0.65,p40_1
0.67,0.33,yes,TRUE,6,2,0.6666666666666666,0.15384615384615385,0.8461538461538461,0.75,100,exp_id_number,0.65,p40_1
0.683,0.317,yes,TRUE,7,2,0.7777777777777778,0.15384615384615385,0.8461538461538461,0.7777777777777778,100,exp_id_number,0.65,p40_1
0.7,0.3,yes,TRUE,8,2,0.8888888888888888,0.15384615384615385,0.8461538461538461,0.8,100,exp_id_number,0.65,p40_1
0.72,0.28,yes,TRUE,9,2,1,0.15384615384615385,0.8461538461538461,0.8181818181818182,100,exp_id_number,0.65,p40_1
0.768,0.232,no,FALSE,9,3,1,0.23076923076923078,0.7692307692307692,0.75,100,exp_id_number,0.65,p40_1
0.799,0.201,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,100,exp_id_number,0.65,p40_1
0.819,0.181,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,100,exp_id_number,0.65,p40_1
0.828,0.172,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,100,exp_id_number,0.65,p40_1
0.913,0.087,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,100,exp_id_number,0.65,p40_1
0.915,0.085,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,100,exp_id_number,0.65,p40_1
0.937,0.063,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,100,exp_id_number,0.65,p40_1
0.939,0.061,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,100,exp_id_number,0.65,p40_1
0.945,0.055,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,100,exp_id_number,0.65,p40_1
0.96,0.04,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,100,exp_id_number,0.65,p40_1
0.966,0.034,no,FALSE,9,13,1,1,0,0.4090909090909091,100,exp_id_number,0.65,p40_1
0.04,0.96,yes,TRUE,1,0,0.09090909090909091,0,1,1,100,exp_id_number,0.65,p40_2
0.05,0.95,yes,TRUE,2,0,0.18181818181818182,0,1,1,100,exp_id_number,0.65,p40_2
0.203,0.797,yes,TRUE,3,0,0.2727272727272727,0,1,1,100,exp_id_number,0.65,p40_2
0.31,0.69,yes,TRUE,4,0,0.36363636363636365,0,1,1,100,exp_id_number,0.65,p40_2
0.332,0.668,yes,TRUE,5,0,0.45454545454545453,0,1,1,100,exp_id_number,0.65,p40_2
0.437,0.563,yes,TRUE,6,0,0.5454545454545454,0,1,1,100,exp_id_number,0.65,p40_2
0.445,0.555,no,FALSE,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.8571428571428571,100,exp_id_number,0.65,p40_2
0.455,0.545,yes,TRUE,7,1,0.6363636363636364,0.09090909090909091,0.9090909090909091,0.875,100,exp_id_number,0.65,p40_2
0.616,0.384,yes,TRUE,8,1,0.7272727272727273,0.09090909090909091,0.9090909090909091,0.8888888888888888,100,exp_id_number,0.65,p40_2
0.656,0.344,yes,TRUE,9,1,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.9,100,exp_id_number,0.65,p40_2
0.723,0.277,yes,TRUE,10,1,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.9090909090909091,100,exp_id_number,0.65,p40_2
0.73,0.27,no,FALSE,10,2,0.9090909090909091,0.18181818181818182,0.8181818181818181,0.8333333333333334,100,exp_id_number,0.65,p40_2
0.742,0.258,yes,TRUE,11,2,1,0.18181818181818182,0.8181818181818181,0.8461538461538461,100,exp_id_number,0.65,p40_2
0.775,0.225,no,FALSE,11,3,1,0.2727272727272727,0.7272727272727273,0.7857142857142857,100,exp_id_number,0.65,p40_2
0.8,0.2,no,FALSE,11,4,1,0.36363636363636365,0.6363636363636364,0.7333333333333333,100,exp_id_number,0.65,p40_2
0.821,0.179,no,FALSE,11,5,1,0.45454545454545453,0.5454545454545454,0.6875,100,exp_id_number,0.65,p40_2
0.836,0.164,no,FALSE,11,6,1,0.5454545454545454,0.4545454545454546,0.6470588235294118,100,exp_id_number,0.65,p40_2
0.847,0.153,no,FALSE,11,7,1,0.6363636363636364,0.36363636363636365,0.6111111111111112,100,exp_id_number,0.65,p40_2
0.89,0.11,no,FALSE,11,8,1,0.7272727272727273,0.2727272727272727,0.5789473684210527,100,exp_id_number,0.65,p40_2
0.893,0.107,no,FALSE,11,9,1,0.8181818181818182,0.18181818181818177,0.55,100,exp_id_number,0.65,p40_2
0.928,0.072,no,FALSE,11,10,1,0.9090909090909091,0.09090909090909094,0.5238095238095238,100,exp_id_number,0.65,p40_2
0.939,0.061,no,FALSE,11,11,1,1,0,0.5,100,exp_id_number,0.65,p40_2
0.065,0.935,yes,TRUE,1,0,0.125,0,1,1,100,exp_id_number,0.65,p40_3
0.077,0.923,yes,TRUE,2,0,0.25,0,1,1,100,exp_id_number,0.65,p40_3
0.091,0.909,yes,TRUE,3,0,0.375,0,1,1,100,exp_id_number,0.65,p40_3
0.103,0.897,yes,TRUE,4,0,0.5,0,1,1,100,exp_id_number,0.65,p40_3
0.106,0.894,yes,TRUE,5,0,0.625,0,1,1,100,exp_id_number,0.65,p40_3
0.129,0.871,yes,TRUE,6,0,0.75,0,1,1,100,exp_id_number,0.65,p40_3
0.139,0.861,yes,TRUE,7,0,0.875,0,1,1,100,exp_id_number,0.65,p40_3
0.17,0.83,no,FALSE,7,1,0.875,0.07142857142857142,0.9285714285714286,0.875,100,exp_id_number,0.65,p40_3
0.548,0.452,no,FALSE,7,2,0.875,0.14285714285714285,0.8571428571428572,0.7777777777777778,100,exp_id_number,0.65,p40_3
0.613,0.387,no,FALSE,7,3,0.875,0.21428571428571427,0.7857142857142857,0.7,100,exp_id_number,0.65,p40_3
0.658,0.342,yes,TRUE,8,3,1,0.21428571428571427,0.7857142857142857,0.7272727272727273,100,exp_id_number,0.65,p40_3
0.684,0.316,no,FALSE,8,4,1,0.2857142857142857,0.7142857142857143,0.6666666666666666,100,exp_id_number,0.65,p40_3
0.692,0.308,no,FALSE,8,5,1,0.35714285714285715,0.6428571428571428,0.6153846153846154,100,exp_id_number,0.65,p40_3
0.702,0.298,no,FALSE,8,6,1,0.42857142857142855,0.5714285714285714,0.5714285714285714,100,exp_id_number,0.65,p40_3
0.748,0.252,no,FALSE,8,7,1,0.5,0.5,0.5333333333333333,100,exp_id_number,0.65,p40_3
0.799,0.201,no,FALSE,8,8,1,0.5714285714285714,0.4285714285714286,0.5,100,exp_id_number,0.65,p40_3
0.852,0.148,no,FALSE,8,9,1,0.6428571428571429,0.3571428571428571,0.47058823529411764,100,exp_id_number,0.65,p40_3
0.859,0.141,no,FALSE,8,10,1,0.7142857142857143,0.2857142857142857,0.4444444444444444,100,exp_id_number,0.65,p40_3
0.913,0.087,no,FALSE,8,11,1,0.7857142857142857,0.2142857142857143,0.42105263157894735,100,exp_id_number,0.65,p40_3
0.92,0.08,no,FALSE,8,12,1,0.8571428571428571,0.1428571428571429,0.4,100,exp_id_number,0.65,p40_3
0.923,0.077,no,FALSE,8,13,1,0.9285714285714286,0.0714285714285714,0.38095238095238093,100,exp_id_number,0.65,p40_3
0.928,0.072,no,FALSE,8,14,1,1,0,0.36363636363636365,100,exp_id_number,0.65,p40_3
0.034,0.966,yes,TRUE,1,0,0.14285714285714285,0,1,1,101,exp_id_number,0.65,fmt_1
0.1,0.9,yes,TRUE,2,0,0.2857142857142857,0,1,1,101,exp_id_number,0.65,fmt_1
0.151,0.849,yes,TRUE,3,0,0.42857142857142855,0,1,1,101,exp_id_number,0.65,fmt_1
0.162,0.838,yes,TRUE,4,0,0.5714285714285714,0,1,1,101,exp_id_number,0.65,fmt_1
0.224,0.776,no,FALSE,4,1,0.5714285714285714,0.06666666666666667,0.9333333333333333,0.8,101,exp_id_number,0.65,fmt_1
0.248,0.752,yes,TRUE,5,1,0.7142857142857143,0.06666666666666667,0.9333333333333333,0.8333333333333334,101,exp_id_number,0.65,fmt_1
0.267,0.733,yes,TRUE,6,1,0.8571428571428571,0.06666666666666667,0.9333333333333333,0.8571428571428571,101,exp_id_number,0.65,fmt_1
0.436,0.564,no,FALSE,6,2,0.8571428571428571,0.13333333333333333,0.8666666666666667,0.75,101,exp_id_number,0.65,fmt_1
0.55,0.45,yes,TRUE,7,2,1,0.13333333333333333,0.8666666666666667,0.7777777777777778,101,exp_id_number,0.65,fmt_1
0.613,0.387,no,FALSE,7,3,1,0.2,0.8,0.7,101,exp_id_number,0.65,fmt_1
0.663,0.337,no,FALSE,7,4,1,0.26666666666666666,0.7333333333333334,0.6363636363636364,101,exp_id_number,0.65,fmt_1
0.779,0.221,no,FALSE,7,5,1,0.3333333333333333,0.6666666666666667,0.5833333333333334,101,exp_id_number,0.65,fmt_1
0.816,0.184,no,FALSE,7,6,1,0.4,0.6,0.5384615384615384,101,exp_id_number,0.65,fmt_1
0.827,0.173,no,FALSE,7,7,1,0.4666666666666667,0.5333333333333333,0.5,101,exp_id_number,0.65,fmt_1
0.828,0.172,no,FALSE,7,8,1,0.5333333333333333,0.4666666666666667,0.4666666666666667,101,exp_id_number,0.65,fmt_1
0.848,0.152,no,FALSE,7,9,1,0.6,0.4,0.4375,101,exp_id_number,0.65,fmt_1
0.848,0.152,no,FALSE,7,10,1,0.6666666666666666,0.33333333333333337,0.4117647058823529,101,exp_id_number,0.65,fmt_1
0.849,0.151,no,FALSE,7,11,1,0.7333333333333333,0.2666666666666667,0.3888888888888889,101,exp_id_number,0.65,fmt_1
0.851,0.149,no,FALSE,7,12,1,0.8,0.19999999999999996,0.3684210526315789,101,exp_id_number,0.65,fmt_1
0.854,0.146,no,FALSE,7,13,1,0.8666666666666667,0.1333333333333333,0.35,101,exp_id_number,0.65,fmt_1
0.897,0.103,no,FALSE,7,14,1,0.9333333333333333,0.06666666666666665,0.3333333333333333,101,exp_id_number,0.65,fmt_1
0.92,0.08,no,FALSE,7,15,1,1,0,0.3181818181818182,101,exp_id_number,0.65,fmt_1
0.025,0.975,yes,TRUE,1,0,0.25,0,1,1,101,exp_id_number,0.65,fmt_2
0.129,0.871,yes,TRUE,2,0,0.5,0,1,1,101,exp_id_number,0.65,fmt_2
0.142,0.858,yes,TRUE,3,0,0.75,0,1,1,101,exp_id_number,0.65,fmt_2
0.15,0.85,yes,TRUE,4,0,1,0,1,1,101,exp_id_number,0.65,fmt_2
0.334,0.666,no,FALSE,4,1,1,0.05555555555555555,0.9444444444444444,0.8,101,exp_id_number,0.65,fmt_2
0.435,0.565,no,FALSE,4,2,1,0.1111111111111111,0.8888888888888888,0.6666666666666666,101,exp_id_number,0.65,fmt_2
0.442,0.558,no,FALSE,4,3,1,0.16666666666666666,0.8333333333333334,0.5714285714285714,101,exp_id_number,0.65,fmt_2
0.518,0.482,no,FALSE,4,4,1,0.2222222222222222,0.7777777777777778,0.5,101,exp_id_number,0.65,fmt_2
0.546,0.454,no,FALSE,4,5,1,0.2777777777777778,0.7222222222222222,0.4444444444444444,101,exp_id_number,0.65,fmt_2
0.547,0.453,no,FALSE,4,6,1,0.3333333333333333,0.6666666666666667,0.4,101,exp_id_number,0.65,fmt_2
0.567,0.433,no,FALSE,4,7,1,0.3888888888888889,0.6111111111111112,0.36363636363636365,101,exp_id_number,0.65,fmt_2
0.576,0.424,no,FALSE,4,8,1,0.4444444444444444,0.5555555555555556,0.3333333333333333,101,exp_id_number,0.65,fmt_2
0.626,0.374,no,FALSE,4,9,1,0.5,0.5,0.3076923076923077,101,exp_id_number,0.65,fmt_2
0.659,0.341,no,FALSE,4,10,1,0.5555555555555556,0.4444444444444444,0.2857142857142857,101,exp_id_number,0.65,fmt_2
0.691,0.309,no,FALSE,4,11,1,0.6111111111111112,0.38888888888888884,0.26666666666666666,101,exp_id_number,0.65,fmt_2
0.692,0.308,no,FALSE,4,12,1,0.6666666666666666,0.33333333333333337,0.25,101,exp_id_number,0.65,fmt_2
0.768,0.232,no,FALSE,4,13,1,0.7222222222222222,0.2777777777777778,0.23529411764705882,101,exp_id_number,0.65,fmt_2
0.811,0.189,no,FALSE,4,14,1,0.7777777777777778,0.2222222222222222,0.2222222222222222,101,exp_id_number,0.65,fmt_2
0.816,0.184,no,FALSE,4,15,1,0.8333333333333334,0.16666666666666663,0.21052631578947367,101,exp_id_number,0.65,fmt_2
0.85,0.15,no,FALSE,4,16,1,0.8888888888888888,0.11111111111111116,0.2,101,exp_id_number,0.65,fmt_2
0.917,0.083,no,FALSE,4,17,1,0.9444444444444444,0.05555555555555558,0.19047619047619047,101,exp_id_number,0.65,fmt_2
0.935,0.065,no,FALSE,4,18,1,1,0,0.18181818181818182,101,exp_id_number,0.65,fmt_2
0.038,0.962,yes,TRUE,1,0,0.2,0,1,1,101,exp_id_number,0.65,p40_1
0.087,0.913,yes,TRUE,2,0,0.4,0,1,1,101,exp_id_number,0.65,p40_1
0.178,0.822,yes,TRUE,3,0,0.6,0,1,1,101,exp_id_number,0.65,p40_1
0.254,0.746,no,FALSE,3,1,0.6,0.058823529411764705,0.9411764705882353,0.75,101,exp_id_number,0.65,p40_1
0.353,0.647,no,FALSE,3,2,0.6,0.11764705882352941,0.8823529411764706,0.6,101,exp_id_number,0.65,p40_1
0.509,0.491,yes,TRUE,4,2,0.8,0.11764705882352941,0.8823529411764706,0.6666666666666666,101,exp_id_number,0.65,p40_1
0.534,0.466,yes,TRUE,5,2,1,0.11764705882352941,0.8823529411764706,0.7142857142857143,101,exp_id_number,0.65,p40_1
0.571,0.429,no,FALSE,5,3,1,0.17647058823529413,0.8235294117647058,0.625,101,exp_id_number,0.65,p40_1
0.632,0.368,no,FALSE,5,4,1,0.23529411764705882,0.7647058823529411,0.5555555555555556,101,exp_id_number,0.65,p40_1
0.681,0.319,no,FALSE,5,5,1,0.29411764705882354,0.7058823529411764,0.5,101,exp_id_number,0.65,p40_1
0.685,0.315,no,FALSE,5,6,1,0.35294117647058826,0.6470588235294117,0.45454545454545453,101,exp_id_number,0.65,p40_1
0.699,0.301,no,FALSE,5,7,1,0.4117647058823529,0.5882352941176471,0.4166666666666667,101,exp_id_number,0.65,p40_1
0.788,0.212,no,FALSE,5,8,1,0.47058823529411764,0.5294117647058824,0.38461538461538464,101,exp_id_number,0.65,p40_1
0.802,0.198,no,FALSE,5,9,1,0.5294117647058824,0.47058823529411764,0.35714285714285715,101,exp_id_number,0.65,p40_1
0.841,0.159,no,FALSE,5,10,1,0.5882352941176471,0.4117647058823529,0.3333333333333333,101,exp_id_number,0.65,p40_1
0.876,0.124,no,FALSE,5,11,1,0.6470588235294118,0.3529411764705882,0.3125,101,exp_id_number,0.65,p40_1
0.906,0.094,no,FALSE,5,12,1,0.7058823529411765,0.2941176470588235,0.29411764705882354,101,exp_id_number,0.65,p40_1
0.918,0.082,no,FALSE,5,13,1,0.7647058823529411,0.23529411764705888,0.2777777777777778,101,exp_id_number,0.65,p40_1
0.927,0.073,no,FALSE,5,14,1,0.8235294117647058,0.17647058823529416,0.2631578947368421,101,exp_id_number,0.65,p40_1
0.935,0.065,no,FALSE,5,15,1,0.8823529411764706,0.11764705882352944,0.25,101,exp_id_number,0.65,p40_1
0.936,0.064,no,FALSE,5,16,1,0.9411764705882353,0.05882352941176472,0.23809523809523808,101,exp_id_number,0.65,p40_1
0.951,0.049,no,FALSE,5,17,1,1,0,0.22727272727272727,101,exp_id_number,0.65,p40_1
0.044,0.956,yes,TRUE,1,0,0.09090909090909091,0,1,1,101,exp_id_number,0.65,p40_2
0.05,0.95,yes,TRUE,2,0,0.18181818181818182,0,1,1,101,exp_id_number,0.65,p40_2
0.238,0.762,yes,TRUE,3,0,0.2727272727272727,0,1,1,101,exp_id_number,0.65,p40_2
0.303,0.697,yes,TRUE,4,0,0.36363636363636365,0,1,1,101,exp_id_number,0.65,p40_2
0.319,0.681,yes,TRUE,5,0,0.45454545454545453,0,1,1,101,exp_id_number,0.65,p40_2
0.452,0.548,no,FALSE,5,1,0.45454545454545453,0.09090909090909091,0.9090909090909091,0.8333333333333334,101,exp_id_number,0.65,p40_2
0.455,0.545,yes,TRUE,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.8571428571428571,101,exp_id_number,0.65,p40_2
0.458,0.542,yes,TRUE,7,1,0.6363636363636364,0.09090909090909091,0.9090909090909091,0.875,101,exp_id_number,0.65,p40_2
0.653,0.347,yes,TRUE,8,1,0.7272727272727273,0.09090909090909091,0.9090909090909091,0.8888888888888888,101,exp_id_number,0.65,p40_2
0.664,0.336,yes,TRUE,9,1,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.9,101,exp_id_number,0.65,p40_2
0.719,0.281,no,FALSE,9,2,0.8181818181818182,0.18181818181818182,0.8181818181818181,0.8181818181818182,101,exp_id_number,0.65,p40_2
0.762,0.238,yes,TRUE,10,2,0.9090909090909091,0.18181818181818182,0.8181818181818181,0.8333333333333334,101,exp_id_number,0.65,p40_2
0.786,0.214,yes,TRUE,11,2,1,0.18181818181818182,0.8181818181818181,0.8461538461538461,101,exp_id_number,0.65,p40_2
0.816,0.184,no,FALSE,11,3,1,0.2727272727272727,0.7272727272727273,0.7857142857142857,101,exp_id_number,0.65,p40_2
0.827,0.173,no,FALSE,11,4,1,0.36363636363636365,0.6363636363636364,0.7333333333333333,101,exp_id_number,0.65,p40_2
0.833,0.167,no,FALSE,11,5,1,0.45454545454545453,0.5454545454545454,0.6875,101,exp_id_number,0.65,p40_2
0.84,0.16,no,FALSE,11,6,1,0.5454545454545454,0.4545454545454546,0.6470588235294118,101,exp_id_number,0.65,p40_2
0.848,0.152,no,FALSE,11,7,1,0.6363636363636364,0.36363636363636365,0.6111111111111112,101,exp_id_number,0.65,p40_2
0.892,0.108,no,FALSE,11,8,1,0.7272727272727273,0.2727272727272727,0.5789473684210527,101,exp_id_number,0.65,p40_2
0.911,0.089,no,FALSE,11,9,1,0.8181818181818182,0.18181818181818177,0.55,101,exp_id_number,0.65,p40_2
0.919,0.081,no,FALSE,11,10,1,0.9090909090909091,0.09090909090909094,0.5238095238095238,101,exp_id_number,0.65,p40_2
0.945,0.055,no,FALSE,11,11,1,1,0,0.5,101,exp_id_number,0.65,p40_2
0.173,0.827,yes,TRUE,1,0,0.125,0,1,1,101,exp_id_number,0.65,p40_3
0.174,0.826,yes,TRUE,2,0,0.25,0,1,1,101,exp_id_number,0.65,p40_3
0.182,0.818,yes,TRUE,3,0,0.375,0,1,1,101,exp_id_number,0.65,p40_3
0.187,0.813,yes,TRUE,4,0,0.5,0,1,1,101,exp_id_number,0.65,p40_3
0.204,0.796,yes,TRUE,5,0,0.625,0,1,1,101,exp_id_number,0.65,p40_3
0.209,0.791,yes,TRUE,6,0,0.75,0,1,1,101,exp_id_number,0.65,p40_3
0.21,0.79,yes,TRUE,7,0,0.875,0,1,1,101,exp_id_number,0.65,p40_3
0.657,0.343,no,FALSE,7,1,0.875,0.07142857142857142,0.9285714285714286,0.875,101,exp_id_number,0.65,p40_3
0.69,0.31,no,FALSE,7,2,0.875,0.14285714285714285,0.8571428571428572,0.7777777777777778,101,exp_id_number,0.65,p40_3
0.705,0.295,yes,TRUE,8,2,1,0.14285714285714285,0.8571428571428572,0.8,101,exp_id_number,0.65,p40_3
0.739,0.261,no,FALSE,8,3,1,0.21428571428571427,0.7857142857142857,0.7272727272727273,101,exp_id_number,0.65,p40_3
0.751,0.249,no,FALSE,8,4,1,0.2857142857142857,0.7142857142857143,0.6666666666666666,101,exp_id_number,0.65,p40_3
0.785,0.215,no,FALSE,8,5,1,0.35714285714285715,0.6428571428571428,0.6153846153846154,101,exp_id_number,0.65,p40_3
0.81,0.19,no,FALSE,8,6,1,0.42857142857142855,0.5714285714285714,0.5714285714285714,101,exp_id_number,0.65,p40_3
0.811,0.189,no,FALSE,8,7,1,0.5,0.5,0.5333333333333333,101,exp_id_number,0.65,p40_3
0.833,0.167,no,FALSE,8,8,1,0.5714285714285714,0.4285714285714286,0.5,101,exp_id_number,0.65,p40_3
0.849,0.151,no,FALSE,8,9,1,0.6428571428571429,0.3571428571428571,0.47058823529411764,101,exp_id_number,0.65,p40_3
0.878,0.122,no,FALSE,8,10,1,0.7142857142857143,0.2857142857142857,0.4444444444444444,101,exp_id_number,0.65,p40_3
0.923,0.077,no,FALSE,8,11,1,0.7857142857142857,0.2142857142857143,0.42105263157894735,101,exp_id_number,0.65,p40_3
0.932,0.068,no,FALSE,8,12,1,0.8571428571428571,0.1428571428571429,0.4,101,exp_id_number,0.65,p40_3
0.948,0.052,no,FALSE,8,13,1,0.9285714285714286,0.0714285714285714,0.38095238095238093,101,exp_id_number,0.65,p40_3
0.948,0.052,no,FALSE,8,14,1,1,0,0.36363636363636365,101,exp_id_number,0.65,p40_3
0.059,0.941,yes,TRUE,1,0,0.1111111111111111,0,1,1,102,exp_id_number,0.65,fmt_1
0.103,0.897,yes,TRUE,2,0,0.2222222222222222,0,1,1,102,exp_id_number,0.65,fmt_1
0.193,0.807,yes,TRUE,3,0,0.3333333333333333,0,1,1,102,exp_id_number,0.65,fmt_1
0.221,0.779,yes,TRUE,4,0,0.4444444444444444,0,1,1,102,exp_id_number,0.65,fmt_1
0.236,0.764,yes,TRUE,5,0,0.5555555555555556,0,1,1,102,exp_id_number,0.65,fmt_1
0.254,0.746,yes,TRUE,6,0,0.6666666666666666,0,1,1,102,exp_id_number,0.65,fmt_1
0.259,0.741,yes,TRUE,7,0,0.7777777777777778,0,1,1,102,exp_id_number,0.65,fmt_1
0.505,0.495,no,FALSE,7,1,0.7777777777777778,0.07692307692307693,0.9230769230769231,0.875,102,exp_id_number,0.65,fmt_1
